"1 ""TRAINING SET INDEX"	SMILES	NAME	MW	LogS(mols/L)	REFERENCE	GROUP						
"2 ""1"	[S-][P](OC)(OC)Oc1ccc(Sc2ccc(O[P]([S-])(OC)OC)cc2)cc1	Abate	466.51	-6.237	26	TRAIN						
"3 ""2"	O=C(O)[C@@](C)(CCC[C@](C)([C@@H](CCC(=CC1=CC[C@@H]23)C(C)C)1)3)2	Abieticacid	302.5	-3.8	25	TRAIN						
"4 ""3"	c1cc2CCc3cccc(c1)c23	Acenaphthene	154.22	-4.63	25	TRAIN						
"5 ""4"	c1cc2C=Cc3cccc(c1)c23	Acenaphthylene	152.2	-3.96	25	TRAIN						
"6 ""5"	S([P@@]([O-])(OC)NC(=O)C)C	Acephate	183.19	0.54	26	TRAIN						
"7 ""6"	O=C(N)C	Acetamide	59.08	1.58	25	TRAIN						
"8 ""7"	O=C(Nc1ccccc1)C	Acetanilide	135.18	-1.33	25	TRAIN						
"9 ""8"	s1c([S]([O-])([O-])N)[nH0][nH0]c1NC(=O)C	Acetazoleamide	222.28	-2.36	25	TRAIN						
"10 ""9"	[S]([O-])([O-])(N(c1o[nH0]c(C)c1C)C(=O)C)c1ccc(N)cc1	Acetylsulfisoxazole	309.38	-3.59	25	TRAIN						
"11 ""10"	O=C(O)[C@](O)(c1ccccc1)C(=O)C	Acetyl-r-mandelic acid	194.19	-1.236	24	TRAIN						
"12 ""11"	Nc1[nH0]c[nH0]c2[nH0]c[nH]c21	Adenine	135.13	-2.144	24	TRAIN						
"13 ""12"	O=C(O)CCCCC(=O)O	Adipic acid	146.16	-0.82	25	TRAIN						
"14 ""13"	O=C1C=C2CC[C@H]([C@@H](CCC(=O)[C@](C)(CC(=O)[C@@H]3([C@](C)(CC1)2))1)1)3	Adrenosterone	300.43	-3.48	25	TRAIN						
"15 ""14"	O[C@H]([C@H]([C@H](N1[C@@H](C[C@@H]2([C@@H](CC)[C@H](O)1))[C@@H](N(C)c1ccccc1[C@@](C1)34)3)1)2)4	Ajmaline	326.48	-2.82	25	TRAIN						
"16 ""15"	ClCC(=O)N(COC)c1c(cccc1CC)CC	Alachlor	269.8	-3.26	25	TRAIN						
"17 ""16"	O=C1C=C2CC[C@H]([C@H](CC[C@H](C(=O)CO)[C@](C[C@H](O[C@H](O)3)[C@@H]4([C@](C)(CC1)2))13)1)4	Aldosterone	360.49	-3.85	25	TRAIN						
"18 ""17"	ClC1=C(Cl)[C@](Cl)([C@@H]([C@H](C=C[C@H](C2)[C@@H]3([C@@](Cl)1(C1(Cl)Cl)))2)3)1	Aldrin	364.9	-7.33	25	TRAIN						
"19 ""18"	O=C1c2ccccc2C(=O)c2c(O)c(O)ccc12	Alizarin	240.22	-2.78	25	TRAIN						
"20 ""19"	O=C1NC(=O)C(CC=C)(CC=C)C(=O)N1	Allobarbital	208.24	-2.06	25	TRAIN						
"21 ""20"	Oc1[nH0]c[nH0]c2[nH][nH0]cc21	Allopurinol	136.13	-2.38	25	TRAIN						
"22 ""21"	O=C(O)[C@H](N)CC	Alpha-Aminobutyric acid	103.14	0.31	25	TRAIN						
"23 ""22"	Oc1ccc2c(c1)CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@H]21)2)2)1	AlphaEstradiol	272.42	-4.84	25	TRAIN						
"24 ""23"	O=C(O)[C@H](N)C	Alpha-alanine	89.08	0.221	24	TRAIN						
"25 ""24"	[nH0]1c([nH0]c([nH0]c1N(C)C)N(C)C)N(C)C	Altretamine	210.33	-3.364	26	TRAIN						
"26 ""25"	S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NCC	Ametryn	227.38	-3.04	25	TRAIN						
"27 ""26"	O=C(Oc1ccc(N(C)C)c(C)c1)NC	Aminocarb	208.29	-2.36	25	TRAIN						
"28 ""27"	N(=CN(C)C=Nc1ccc(C)cc1C)c1ccc(C)cc1C	Amitraz	293.45	-5.47	25	TRAIN						
"29 ""28"	Nc1[nH0][nH]c[nH0]1	Amitrole	84.1	0.522	26	TRAIN						
"30 ""29"	OC[C@@H](O[C@H](OC[C@@H](O[C@H](O[C@@H](C#N)c1ccccc1)[C@@H](O)[C@@H](O)[C@H](O)1)1)[C@@H](O)[C@@H](O)[C@H](O)1)1	Amygdalin	457.48	-0.77	25	TRAIN						
"31 ""30"	O[C@@](c1c[nH0]c[nH0]c1)(c1ccc(OC)cc1)C1CC1	Ancymidol	256.33	-2.6	25	TRAIN						
"32 ""31"	O=C1C=C2CC[C@H]([C@@H](CCC(=O)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Androstenedione	286.45	-3.69	25	TRAIN						
"33 ""32"	O=C1CC[C@H]([C@@H](CC[C@H](C[C@H](O)CC[C@](C)2([C@H](CC[C@@](C)11)3))2)3)1	Androsterone	290.49	-4.4	25	TRAIN						
"34 ""33"	Clc1ccc(N(C(=O)CS[P]([S-])(OC)OC)C(C)C)cc1	Anilofos	367.89	-4.432	26	TRAIN						
"35 ""34"	O=C(O[C@@H]([C@@H](O)CN[C@H](Cc1ccc(OC)cc1)1)1)C	Anisomycin	265.34	-1.61	25	TRAIN						
"36 ""35"	c1ccc2cc3ccccc3cc2c1	Anthracene	178.24	-6.35	25	TRAIN						
"37 ""36"	O=C1c2ccccc2C(=O)c2ccccc12	Anthraquinone	208.22	-5.19	25	TRAIN						
"38 ""37"	O=C1N(N(C)C(C)=C1)c1ccccc1	Antipyrine	188.23	-0.56	24	TRAIN						
"39 ""38"	O=C1N2N(c3cc(C)ccc3N=C2N(C)C)C(=O)[C@@H](CCC)1	Apazone	300.4	-3.538	26	TRAIN						
"40 ""39"	O=C1O[C@H](C(O)=C1O)[C@@H](O)CO	Ascorbic acid	176.13	0.156	24	TRAIN						
"41 ""40"	O=C(N)C[C@H](N)C(=O)O	Asparagine	132.12	-0.685	24	TRAIN						
"42 ""41"	O=C(Oc1ccccc1C(=O)O)C	Aspirin	180.16	-1.648	24	TRAIN						
"43 ""42"	[S]([O-])([O-])(NC(=O)OC)c1ccc(N)cc1	Asulam	230.27	-1.66	25	TRAIN						
"44 ""43"	Clc1ccc(cc1)C1CCC(CC1)C=1C(=O)c2ccccc2C(=O)C=1O	Atovaquone	366.86	-5.931	26	TRAIN						
"45 ""44"	Clc1[nH0]c([nH0]c([nH0]1)NC(C)C)NCC	Atrazine	215.72	-3.85	25	TRAIN						
"46 ""45"	O=C(O)CCCCCCCC(=O)O	Azelaic acid	188.25	-1.89	25	TRAIN						
"47 ""46"	N(=Nc1ccccc1)c1ccccc1	Azobenzene	182.24	-4.45	25	TRAIN						
"48 ""47"	Clc1cccc2SC(=O)N(CC(=O)O)c21	Benazolin	243.68	-2.61	25	TRAIN						
